Links,TFO,Dupere,Overdale,Hochelaga,Anjou,Hot,Cold
E1,1,-1,0,0,0,0,0
E2,1,0,0,-1,0,0,0
E3,0,0,0,1,-1,0,0
E4,0,0,-1,0,1,0,0
HP,1,0,0,0,0,-1,-1
