Storages,Nodes,Discharge efficiency,Charge efficiency,Maximum state of charge,Minimum state of charge,Investment cost,Maximum capacity,Storage duration,Lifetime,Discount rate,O&M
Pumped_Hydro,1,0.8,0.8,1,0.1,150000, 58, 10, 50, 0.06,150
Batteries,1,0.95,0.95,1,0.1,200000,40,4,15,0.06,200
Hot_Water_Tank,1,0.95,0.95,1,0.1,120000,20,6,20,0.06,40
Molten_Salt,1,0.97,0.97,1,0.1,180000,100,10,30,0.06,60
Chilled_Water_Storage,1,0.96,0.96,1,0.1,100000,15,6,20,0.06,30 
